Facility Name,x,y,Services
California Pacific Med Ctr-pacific Campus,-122.43103755,37.79142444,Hospital
California Pacific Med Ctr-california West,-122.45591166,37.78614406,Hospital
"St. Mary's Medical Center, San Francisco",-122.45440679,37.77380449,Hospital
Ucsf Medical Center,-122.45856738,37.76336734,Hospital
Chinese Hospital,-122.40917233,37.79566209,Hospital
Ucsf Medical Center At Mount Zion,-122.43972581,37.78477686,Hospital
California Pacific Med Ctr-california East,-122.4535495,37.78740232,Hospital
St. Francis Memorial Hospital,-122.41706621,37.78956798,Hospital
California Pacific Medical Center - St. Luke's Campus,-122.42124885,37.74804296,Hospital
San Francisco General Hospital,-122.40771972,37.75606363,Hospital
Kaiser Fnd Hosp - San Francisco,-122.44370676,37.78268324,Hospital
California Pacific Med Ctr-davies Campus,-122.4358177,37.76905419,Hospital
Laguna Honda Hospital And Rehabilitation Center,-122.45871779,37.74762573,Hospital
